PR_Scores,PR_Links
0.047385, International_Standard_Book_Number 
0.038873, Digital_object_identifier 
0.03049, International_Standard_Serial_Number 
0.021511, National_Diet_Library 
0.01798, Bibcode 
0.017648, PubMed_Identifier 
0.014713, World_War_II 
0.014404, Canada 
0.013421, Japan 
0.012906, OCLC 
