PR_Scores,PR_Links
0.053355, Digital_object_identifier 
0.051909,International_Standard_Book_Number
0.032169,Bibcode
0.031421,PubMed_Identifier
0.022164,Canada
0.017076,United_States_dollar
0.010541,United_States
0.005918,Earth
0.005228,Puerto_Rico
0.004937,Atlantic_Ocean
